id,nome,nome_mae,data_nascimento,cpf,cns,foto,created_at,updated_at
2,Dr. José de Freitas Jr.,Dr. Denis Cortês Rivera,2009-04-11,707.229.926-29,i5YqjIap5M92wre,pacientes_fotos/GfFsZhjxSv49qmixl8TMxcij2Q4NgKIcX5bo1lnjgtMmoEdfg3P8en8dTc8deIXufteJRMjVtkAnNMfoMJJjpUU6y5e9P6XYMPGE0rCZOOWb4K3zJ5pjZMBxuyuhgv2cFAJPQHD4pCnWXEi54O0wgzqwfE822zXKzVfZtmmAVZObrXpQD.png,2023-04-02 16:48:59,2023-04-02 16:48:59
3,Mila Colaço D'ávila,Sr. Michael de Freitas,1981-11-10,888.211.057-50,jBMD2lgjfj0NAOT,pacientes_fotos/RKyVnPnzm78hXo2FDqFEDoKURzN9JJGXGkVoOhYiQg20YtoexkqKfFoYGGTOjqd3WOclSlnV4wIJqzU9tDtVOoR8yN9KZSutzLvSdV4SuJVVWw0ESA5jiVRtoopT8rAHa0uFdb3SpfvKwwgnytgIHyZgbXaNbzhiaxNyUXsznI5yNYyMU.png,2023-04-02 16:48:59,2023-04-02 16:48:59
4,Sra. Karine Leon,Suelen Anita Montenegro,1989-09-07,745.800.872-59,tBUnMn3G2Rydgbd,pacientes_fotos/u2t8eGbc3Cjxjwf0KMEh94YbKR2TThGIMnKMoysepYZ3Xbh8PLvFaYeYPuDRC4yKqRFSIkRFuBQmjVfoyDhdyXJlDdjmGZ47IV2f2Ibe2pCMm4yPoI9bhYx22rDXzgJx55T8eG1IOBYhSa1OHAfrDGFQHa3Sq0EJ3Sl5kDd7CUpsKeRcK.png,2023-04-02 16:48:59,2023-04-02 16:48:59
5,Ronaldo Ramos Jr.,Ariana Godói Chaves Sobrinho,1989-08-01,565.151.863-04,w0prYQ0IZYqxjQU,pacientes_fotos/j12a8NtuEI4DKzOne2WS421hmOAysJ8LLBcRdhYyDrcKevIJO2mvS1ZlkDRu0dWiVVrlw2hlPaT2uTbZbrCJc7l8AB7zEBxFMM8Bt0pcqU4pmypP4GpMTC3wUXPTEMhEcWXiAAjHnT73eNpxekPRQHbeWdY6KmEsyPCQEpDKXsqHb80Dg.png,2023-04-02 16:48:59,2023-04-02 16:48:59
6,Dr. Thiago Rivera Jr.,Dr. Allan das Neves Neto,1979-02-13,093.037.108-94,CsNzgpY1FxJqyJi,pacientes_fotos/NiRlo8z9HoI1KGnqUv4Q0vpffZRjEyQ7uw5ONyGjTwVTbPKiJLdYRKsyY71p0JLx10LBGu30e4NQQnQpXjwY3WvfFgBduM7G5l8LdWK5DMhp9DF7YJazoxm70mqCadStr56w1ksmw2f94Pi1QqZ6kPvh0cfZWdBsMd1IXiQKUjQfmPnwR.png,2023-04-02 16:48:59,2023-04-02 16:48:59
7,Dr. Marília Fonseca Sandoval,Sra. Gabrielly Ariane Gil,2021-08-24,352.482.900-74,TSmGsXd1LFP6JMD,pacientes_fotos/wJ15SoeK2VuFZMTqpNzkvccBfuexXmuflFR5WYDI43qtVrPPV4Whjxlaw4i6rmtPhr15q64lGkfSGYAsAk1boSxbNxrfX5kaDTbBpmpB9Wsu1tpYCpV4rRvWjGc5wFOJGJdmP0uha1fWJeQSNRGK0M2mB6T8SsNgwvz68hb5giWMXJ6QT.png,2023-04-02 16:48:59,2023-04-02 16:48:59
8,Sr. Estêvão Vieira Gonçalves Filho,Eduarda Daniele Fernandes Filho,1975-06-21,966.875.699-10,wGysexwGy7XkJ3V,pacientes_fotos/Za5mh9HhL9XYCSTRDQ5JwTbag7QDm5vHR95V6LZ4sPdy10aN70pbXI0fk0InaiIwDgCVO6pUy6G6iTbZ8h9gdyQIrFDxusVN3bLNZA1nLno6wIbkCWAs2i30yEvYy7R63sz0F2PsvPK79VKHyhCPL97uyLrFfVUrrwkXn3PTM6ompo9NW.png,2023-04-02 16:48:59,2023-04-02 16:48:59
9,Reinaldo Emiliano Gomes Jr.,Srta. Sheila Gisela Romero Filho,1980-10-20,701.358.840-71,9IFPN9kr2z4iA1d,pacientes_fotos/P2vxXh83XGajE5McJ2MGCd8v9Kea5Tsrp2YksvbaRAoJ2G2iqRnVv2V4ZjU1q1ugpwqsVhslyUPVIyPJSUZFISC0S9zkubUkhDxSLH8R2ibYa7T1PDMMc8hoB4hZwqpAaJxCE9yI9Z9hHfFpAeZyVxonXw4ysHrjtEs6FX8OmLrm1SSWh.png,2023-04-02 16:48:59,2023-04-02 16:48:59
10,Sra. Hortência Rebeca Gusmão Jr.,Giovana Serna Jr.,1987-04-06,202.564.693-34,Rr5AvRyJCLVRXZJ,pacientes_fotos/p0maGMiVM36ABOTbzO0kxMUvl1z0BPWV11P7WH1QuBgl58J6l9aYtTJgity7Msyw3xuiiQRalOIY6g027Gf72F2QtE4fI6CQBxDQy2KxVlW79ftTibTlD6jaAw1QtUEoNplnRr3NkQidukhh0y06KvtK8v7WNjMoWBWoMCxzKjFn5AXap.png,2023-04-02 16:48:59,2023-04-02 16:48:59
11,Dr. Alessandro de Oliveira Jr.,Sr. Gian Giovane Ortiz Sobrinho,2001-08-31,208.310.407-26,5pJV2VsD4dxS8oE,pacientes_fotos/l1Wi0ylrC4TnYqAfP5yqBhqVsvBUcP9b7ez35zrCopuwT5FhnC83Yt0BI71NpSE6CXP3Ngm2xI4suYxPx4XjPSW7iBOvBh1R2tcyUyNjeRsODKzWrgunCDZkAV6vWnBiHkGCRXxI9hyLeqkWlRVgKGn7a347oWlCwrPSl9hJOvdNHPYLr.png,2023-04-02 16:48:59,2023-04-02 16:48:59
